Rk_stats_standard,Player,Nation_stats_standard,Pos_stats_standard,Squad_stats_standard,Age_stats_standard,Born_stats_standard,MP_stats_standard,Starts_stats_standard,Min_stats_standard,90s_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,PK_stats_standard,PKatt_stats_standard,CrdY_stats_standard,CrdR_stats_standard,xG_stats_standard,npxG_stats_standard,xAG_stats_standard,npxG+xAG_stats_standard,PrgC_stats_standard,PrgP_stats_standard,PrgR_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,G+A-PK_stats_standard,xG_stats_standard,xAG_stats_standard,xG+xAG_stats_standard,npxG_stats_standard,npxG+xAG_stats_standard,Matches_stats_standard,FirstName
112,Aaron Cresswell,eng ENG,DF,West Ham,35-144,1989,15,8,676.0,7.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,28,2,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.17,0.01,0.17,Matches,Aaron
537,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-163,1997,33,32,2884.0,32.0,2,3,5,2,0,0,1,0,1.2,1.2,3.2,4.4,101,132,150,0.06,0.09,0.16,0.06,0.16,0.04,0.10,0.14,0.04,0.14,Matches,Aaron
420,Aaron Ramsdale,eng ENG,GK,Southampton,26-359,1998,27,27,2430.0,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Aaron
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-127,1993,30,29,2425.0,26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches,Abdoulaye
280,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-068,2004,6,6,503.0,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Abdukodir
175,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-061,2004,11,6,579.0,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,Abdul
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-087,1997,20,15,1248.0,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,Adam
294,Adam Lallana,eng ENG,MF,Southampton,36-363,1988,14,5,361.0,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches,Adam
473,Adam Smith,eng ENG,DF,Bournemouth,34-009,1991,22,17,1409.0,15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,12,40,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,Adam
547,Adam Wharton,eng ENG,MF,Crystal Palace,20-340,2004,20,16,1318.0,14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.00,0.14,0.14,0.00,0.14,0.03,0.21,0.23,0.03,0.23,Matches,Adam
543,Adam Webster,eng ENG,DF,Brighton,30-124,1995,11,8,617.0,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches,Adam
513,Adama Traoré,es ESP,"FW,MF",Fulham,29-103,1996,33,16,1592.0,17.7,2,6,8,2,0,0,3,0,3.9,3.9,4.7,8.6,89,61,145,0.11,0.34,0.45,0.11,0.45,0.22,0.27,0.49,0.22,0.49,Matches,Adama
214,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-350,2001,4,2,143.0,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,Albert
194,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-311,2004,34,23,2146.0,23.8,6,2,8,6,0,0,3,0,7.2,7.2,4.5,11.7,139,56,281,0.25,0.08,0.34,0.25,0.34,0.30,0.19,0.49,0.30,0.49,Matches,Alejandro
338,Alex McCarthy,eng ENG,GK,Southampton,35-156,1989,5,5,450.0,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Alex
251,Alex Iwobi,ng NGA,"FW,MF",Fulham,29-005,1996,35,33,2796.0,31.1,9,6,15,9,0,0,1,0,4.6,4.6,6.9,11.5,135,199,224,0.29,0.19,0.48,0.29,0.48,0.15,0.22,0.37,0.15,0.37,Matches,Alex
401,Alex Palmer,eng ENG,GK,Ipswich Town,28-271,1996,11,11,990.0,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Alex
458,Alex Scott,eng ENG,MF,Bournemouth,21-260,2003,18,7,709.0,7.9,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,15,49,33,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches,Alex
250,Alexander Isak,se SWE,FW,Newcastle Utd,25-229,1999,32,32,2577.0,28.6,23,6,29,19,4,4,1,0,19.9,16.8,4.3,21.1,81,80,200,0.80,0.21,1.01,0.66,0.87,0.69,0.15,0.85,0.59,0.74,Matches,Alexander
314,Alexis Mac Allister,ar ARG,MF,Liverpool,26-135,1998,34,30,2575.0,28.6,5,5,10,5,0,0,6,0,2.8,2.8,4.6,7.4,34,174,79,0.17,0.17,0.35,0.17,0.35,0.10,0.16,0.26,0.10,0.26,Matches,Alexis
225,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-068,2002,11,0,134.0,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches,Ali
16,Alisson,br BRA,GK,Liverpool,32-218,1992,25,25,2238.0,24.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Alisson
31,Alphonse Areola,fr FRA,GK,West Ham,32-070,1993,24,23,2080.0,23.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Alphonse
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-024,1998,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Altay
131,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-301,2002,23,17,1639.0,18.2,7,6,13,7,0,0,3,0,4.2,4.2,4.0,8.2,93,55,163,0.38,0.33,0.71,0.38,0.71,0.23,0.22,0.45,0.23,0.45,Matches,Amad
392,Amadou Onana,be BEL,MF,Aston Villa,23-265,2001,23,17,1378.0,15.3,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,21,60,14,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches,Amadou
407,Andreas Pereira,br BRA,MF,Fulham,29-127,1996,31,23,1879.0,20.9,2,4,6,2,0,1,7,0,3.5,2.7,4.5,7.2,27,99,78,0.10,0.19,0.29,0.10,0.29,0.17,0.21,0.38,0.13,0.34,Matches,Andreas
433,Andrew Robertson,sct SCO,DF,Liverpool,31-058,1994,31,27,2308.0,25.6,0,0,0,0,0,0,3,1,1.0,1.0,4.1,5.1,58,165,95,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Matches,Andrew
393,André Onana,cm CMR,GK,Manchester Utd,29-036,1996,33,33,2970.0,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,André
26,André,br BRA,MF,Wolves,23-296,2001,30,28,2249.0,25.0,0,0,0,0,0,0,7,0,0.4,0.4,0.7,1.1,8,95,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,André
193,Andrés García,es ESP,"DF,MF",Aston Villa,22-090,2003,7,5,318.0,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,Andrés
249,Andy Irving,sct SCO,MF,West Ham,24-360,2000,10,1,166.0,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches,Andy
160,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,23-011,2002,35,28,2232.0,24.8,6,9,15,6,0,0,1,0,4.2,4.2,4.8,9.0,87,54,190,0.24,0.36,0.60,0.24,0.60,0.17,0.19,0.36,0.17,0.36,Matches,Anthony
208,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-073,2001,31,25,2235.0,24.8,6,5,11,5,1,2,2,0,8.0,6.4,4.9,11.4,111,93,197,0.24,0.20,0.44,0.20,0.40,0.32,0.20,0.52,0.26,0.46,Matches,Anthony
461,Antoine Semenyo,gh GHA,FW,Bournemouth,25-121,2000,34,33,2933.0,32.6,9,5,14,9,0,0,9,0,9.3,9.3,5.8,15.1,133,106,259,0.28,0.15,0.43,0.28,0.43,0.29,0.18,0.46,0.29,0.46,Matches,Antoine
434,Antonee Robinson,us USA,DF,Fulham,27-273,1997,34,33,2989.0,33.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,114,123,265,0.00,0.30,0.30,0.00,0.30,0.02,0.12,0.15,0.02,0.15,Matches,Antonee
28,Antony,br BRA,"DF,MF",Manchester Utd,25-073,2000,8,0,141.0,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches,Antony
283,Antonín Kinský,cz CZE,GK,Tottenham,22-056,2003,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Antonín
